package	version	license_file	source_url
duckdb	1.5.5	licenses/third_party/packages/duckdb/LICENSE	https://github.com/duckdb/duckdb-python
geopandas	1.1.4	licenses/third_party/packages/geopandas/LICENSE.txt	https://geopandas.org
pandas	3.0.5	licenses/third_party/packages/pandas/LICENSE	https://pandas.pydata.org
pydantic	2.13.5	licenses/third_party/packages/pydantic/LICENSE	https://github.com/pydantic/pydantic
pytest	9.1.1	licenses/third_party/packages/pytest/LICENSE	https://docs.pytest.org/en/latest/
pytest-cov	7.1.0	licenses/third_party/packages/pytest-cov/LICENSE	https://github.com/pytest-dev/pytest-cov
build	1.6.0	licenses/third_party/packages/build/LICENSE	https://build.pypa.io
joblib	1.6.0	licenses/third_party/packages/joblib/LICENSE.txt	https://joblib.readthedocs.io
mypy	2.3.1	licenses/third_party/packages/mypy/LICENSE	https://www.mypy-lang.org/
ruff	0.16.6	licenses/third_party/packages/ruff/LICENSE	https://docs.astral.sh/ruff
twine	7.0.0	licenses/third_party/packages/twine/LICENSE	https://twine.readthedocs.io/
